,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0,0102.a4.txt,1562.8,1112.18,565.68,345.16,0,0,10
1,0103.a4.txt,989.52,1187.43,413.27,296.86,0,0,6
2,0104.a4.txt,1482.18,1116.32,647.28,384.62,0,0,8
3,0105.a4.txt,1405.9,1145.12,544.22,725.62,0,0,4
4,0106.a4.txt,1372.93,1071.08,710.81,408.96,0,0,7
5,0107.a4.txt,1526.79,1314.46,657.23,434.78,0,0,2
6,0108.a4.txt,1437.67,1301.18,618.74,391.26,0,0,2
7,0109.a4.txt,1665.12,1137.84,656.8,388.53,0,0,3
8,0110.a4.txt,1789.84,1154.73,612.01,334.87,0,0,1
9,0111.a4.txt,1424.05,1223.63,675.11,390.3,0,0,7
10,0112.a4.txt,1425.64,1179.49,543.59,389.74,0,0,3
11,0115.a4.txt,1874.31,848.95,716.65,518.19,0,0,4
12,0119.a4.txt,1549.15,1356.84,470.09,363.25,0,0,5
13,0120.a4.txt,1267.61,1368.21,543.26,331.99,0,0,8
14,0121.a4.txt,1388.65,1083.83,601.19,457.24,0,0,3
15,0122.a4.txt,1647.81,1039.6,608.2,403.11,0,0,9
16,0127.a4.txt,1219.23,1137.16,527.55,644.78,0,0,5
17,0128.a4.txt,1824.67,1100.92,519.88,387.36,0,0,2
18,0130.a4.txt,1626.84,992.65,477.94,496.32,0,0,4
19,0134.a4.txt,1308.85,998.12,772.13,348.4,0,0,0
20,0135.a4.txt,1666.67,1006.49,714.29,573.59,0,0,4
21,0136.a4.txt,1347.46,1127.93,628.31,317.94,0,3,3
22,0137.a4.txt,1773.13,991.19,539.65,396.48,0,0,6
23,0139.a4.txt,1397.97,834.27,766.63,304.4,0,0,4
24,0140.a4.txt,1411.64,1045.26,549.57,441.81,0,0,6
25,0149.a4.txt,1384.06,1174.36,689.04,329.54,0,0,8
26,0156.a4.txt,1250.0,1273.81,511.9,452.38,0,0,7
27,0157.a4.txt,1386.55,1071.43,714.29,567.23,0,0,1
28,0158.a4.txt,1386.32,1090.57,674.68,563.77,0,0,1
29,0159.a4.txt,1559.72,1066.14,631.79,463.97,0,0,5
30,0161.a4.txt,1632.45,1085.04,733.14,283.48,0,0,5
31,0165.a4.txt,1850.18,1010.83,406.14,397.11,0,0,2
32,0168.a4.txt,1497.16,1023.37,631.71,473.78,0,0,10
33,0169.a4.txt,1468.99,1273.12,718.17,348.2,0,0,7
34,0171.a4.txt,1420.12,1015.78,611.44,345.17,0,0,3
35,0175.a4.txt,1552.08,1072.92,708.33,406.25,0,0,2
36,0176.a4.txt,1576.92,990.38,586.54,528.85,0,0,3
37,0177.a4.txt,1088.26,1405.31,736.93,514.14,0,0,7
38,0178.a4.txt,1736.23,1068.45,709.52,450.75,0,0,4
39,0179.a4.txt,1758.89,1047.43,909.09,217.39,0,0,2
40,0185.a4.txt,1616.89,1143.15,700.31,339.86,0,0,1
41,0186.a4.txt,1522.68,1241.9,539.96,345.57,0,0,7
42,0187.a4.txt,1379.69,1335.54,529.8,331.13,0,0,10
43,0188.a4.txt,1674.38,1017.58,610.55,462.53,0,0,3
44,0190.a4.txt,1334.02,1044.47,475.7,341.26,0,1,8
45,0192.a4.txt,1779.66,1197.03,444.92,360.17,0,0,2
