,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0,0103.b3.txt,1862.62,560.47,589.97,244.42,0,2,101
1,0105.b3.txt,1386.55,865.55,756.3,394.96,0,0,19
2,0122.b3.txt,1394.16,794.46,599.69,261.4,0,4,24
3,0130.b3.txt,1580.3,759.36,692.66,425.86,0,9,21
4,0133.b3.txt,1308.71,770.63,560.88,360.24,0,7,38
5,0134.b3.txt,1560.32,939.68,806.26,812.06,0,0,19
6,0139.b3.txt,1967.12,839.69,839.69,364.06,0,2,13
7,0140.b3.txt,2697.48,647.06,579.83,277.31,0,0,2
8,0165.b3.txt,1717.97,655.41,628.93,248.26,0,0,34
9,0171.b3.txt,1624.84,790.46,815.56,313.68,0,0,35
10,0200.b3.txt,1783.61,806.56,839.34,419.67,0,0,11
11,0300.b3.txt,1595.43,844.93,805.17,293.24,0,1,33
12,0303.b3.txt,1531.53,765.77,810.81,427.93,0,0,1
13,0304.b3.txt,1700.14,839.31,609.76,437.59,0,6,15
14,0307.b3.txt,1625.48,741.35,768.81,230.64,0,4,42
15,0308.b3.txt,1766.94,899.3,842.31,702.98,0,1,7
16,0310.b3.txt,1753.59,718.69,804.93,562.63,0,6,24
17,0313.b3.txt,1724.83,549.54,774.17,280.79,0,3,31
18,1023.b3.txt,1259.64,726.22,771.21,449.87,0,0,19
19,1057.b3.txt,1805.47,949.33,649.39,366.92,0,1,23
20,1066.b3.txt,1708.22,885.94,960.21,429.71,0,0,14
21,1069.b3.txt,1462.33,709.01,655.83,398.82,0,1,34
22,1082.b3.txt,2100.65,675.32,886.36,318.18,0,2,35
23,1097.b3.txt,1590.24,839.02,907.32,531.71,0,2,24
24,1100.b3.txt,1625.72,744.22,657.51,303.47,0,2,3
25,1102.b3.txt,1686.39,710.06,924.56,436.39,0,7,9
26,1112.b3.txt,1600.65,897.33,824.58,460.79,0,0,27
27,1508.b3.txt,1544.6,882.63,643.19,309.86,0,1,38
28,1520.b3.txt,1173.79,777.98,532.3,286.62,0,1,62
29,1532.b3.txt,1634.43,851.06,667.31,367.5,0,6,36
30,1533.b3.txt,1709.78,893.29,707.36,339.53,0,0,31
31,1534.b3.txt,1701.94,832.96,972.53,499.77,0,0,22
32,1536.b3.txt,1830.91,748.52,683.9,468.5,0,6,16
33,2018.b3.txt,1784.26,1032.07,676.38,297.38,0,0,28
34,2034.b3.txt,1427.82,1143.31,605.9,395.15,0,0,24
