,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0,0107.b6.txt,1728.08,1207.12,864.04,406.61,0,0,4
1,0137.b6.txt,1724.14,1246.68,901.86,530.5,0,0,0
2,0151.b6.txt,1510.61,1323.35,661.67,561.8,0,0,0
3,0157.b6.txt,1207.13,1385.46,685.87,631.0,0,0,0
4,0158.b6.txt,1517.24,1252.87,747.13,655.17,0,0,0
5,0178.b6.txt,1745.53,1114.62,883.28,557.31,0,0,4
6,0185.b6.txt,1597.72,1298.15,727.53,413.69,0,0,0
7,0198.b6.txt,1534.01,1186.69,723.59,448.63,0,0,0
8,0219.b6.txt,1687.59,1311.02,529.99,362.62,0,0,0
9,0223.b6.txt,1695.54,1200.5,668.32,631.19,0,0,0
10,0238.b6.txt,1373.8,1405.75,798.72,415.34,0,0,0
11,0318.b6.txt,1751.47,978.47,851.27,450.1,0,0,4
